artist,song_title,year,artist_genre,youtube_link,imvdb_url
Pantera,Planet Caravan,1994,Desconhecido,https://www.youtube.com/watch?v=kWChhdIgT6Q,https://imvdb.com/video/pantera/planet-caravan
Low,Words,1994,Desconhecido,https://www.youtube.com/watch?v=4AzLgswmJxA,https://imvdb.com/video/low/words
Oasis,Shakermaker,1994,Desconhecido,https://www.youtube.com/watch?v=TBvuymL98gg,https://imvdb.com/video/oasis/shakermaker
Slayer,Dittohead,1994,Desconhecido,https://www.youtube.com/watch?v=P7vO5HS2MTc,https://imvdb.com/video/slayer/dittohead
Roxette,Fireworks,1994,Desconhecido,https://www.youtube.com/watch?v=EvpYdXjE0Rc,https://imvdb.com/video/roxette/fireworks
Primal Scream,Jailbird,1994,Desconhecido,https://www.youtube.com/watch?v=zNH5aY9mHTo,https://imvdb.com/video/primal-scream/jailbird
Aerosmith,Cryin',1994,Desconhecido,https://www.youtube.com/watch?v=qfNmyxV2Ncw,https://imvdb.com/video/aerosmith/cryin
Wild Colonials,Girl,1994,Desconhecido,https://www.youtube.com/watch?v=d-9jhL0331s,https://imvdb.com/video/wild-colonials/girl
Ladae,Bye Bye,1994,Desconhecido,https://www.youtube.com/watch?v=ANCiG854jdc,https://imvdb.com/video/ladae/bye-bye
Enya,Marble Halls,1994,Desconhecido,,https://imvdb.com/video/enya/marble-halls
Satchel,Mr. Pink,1994,Desconhecido,https://www.youtube.com/watch?v=IpI2O39qJw0,https://imvdb.com/video/satchel/mr-pink
Prince,Blue Light,1994,Desconhecido,https://www.youtube.com/watch?v=pDKHRbw6ke8,https://imvdb.com/video/prince/blue-light
Usher,Think Of You,1994,Desconhecido,,https://imvdb.com/video/usher/think-of-you
PJ Harvey,50ft Queenie,1994,Desconhecido,https://www.youtube.com/watch?v=jKLiU7Hq93w,https://imvdb.com/video/pj-harvey/50
Kris Kross,Da Bomb,1994,Desconhecido,https://www.youtube.com/watch?v=JZ1YJn1PkI4,https://imvdb.com/video/kris-kross/da-bomb
Manic Street Preachers,Revol,1994,Desconhecido,https://www.youtube.com/watch?v=vf91dTrLkgA,https://imvdb.com/video/manic-street-preachers/revol
Widowmaker,Long Gone,1994,Desconhecido,https://www.youtube.com/watch?v=taZCLXeGDZc,https://imvdb.com/video/widowmaker-2/long-gone
Blackstreet,Tonight's The Night,1994,Desconhecido,https://www.youtube.com/watch?v=O2SXcLPzo7c,https://imvdb.com/video/blackstreet/tonights-the-night
Kylie Minogue,Confide In Me,1994,Desconhecido,https://www.youtube.com/watch?v=WSFDCmmsqEI,https://imvdb.com/video/kylie-minogue/confide-in-me
Shonen Knife,Tomato Head,1994,Desconhecido,https://www.youtube.com/watch?v=Zyum3OfpLC4,https://imvdb.com/video/shonen-knife/tomato-head
The Breeders,Saints,1994,Desconhecido,https://www.youtube.com/watch?v=29DKkmZMTlk,https://imvdb.com/video/the-breeders/saints
Roxette,Run to You,1994,Desconhecido,https://www.youtube.com/watch?v=lPMQYrRcz_8,https://imvdb.com/video/roxette/run-to-you
R.E.M.,Strange Currencies,1994,Desconhecido,https://www.youtube.com/watch?v=LYo2GtEvMQI,https://imvdb.com/video/r.e.m./strange-currencies/2
Corrosion Of Conformity,Albatross,1994,Desconhecido,https://www.youtube.com/watch?v=rKPicUnsPPg,https://imvdb.com/video/corrosion-of-conformity/albatross
Violent Femmes,Machine,1994,Desconhecido,https://www.youtube.com/watch?v=zIKff0dT6So,https://imvdb.com/video/violent-femmes/machine
Live,I Alone,1994,Desconhecido,https://www.youtube.com/watch?v=FNrQOUtXYOo,https://imvdb.com/video/live/i-alone
Litfiba,A denti stretti,1994,Desconhecido,https://www.youtube.com/watch?v=SAJ6Pa7rq6A,https://imvdb.com/video/litfiba/a-denti-stretti
John Mellencamp,Wild Night,1994,Desconhecido,https://www.youtube.com/watch?v=1nPPRQeTxTY,https://imvdb.com/video/john-mellencamp/wild-night
